Altium Designer Pick and Place Locations
D:\PCB Design Course\Mixed signal\Mixed signal PCB board\Mixed_Signal_PCB\Project Outputs for Free Documents\Pick Place\Pick Place for PCB_Mixed_Signal.txt

========================================================================================================================
File Design Information:

Date:       07/04/25
Time:       12.44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                   
R49        100K                   BottomLayer Resistor_0603                  2484.252      1748.031      225      "Res Thick Film 0603 100K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"                                
J6         1X4                    TopLayer    HEADER_1X4_2.54MM              1120.000      2915.118      90       "THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 4 pins"                                           
X3         8MhZ                   TopLayer    XTAL_8MhZ                      1943.380      1746.674      45       "Crystal 8MHz ±30ppm (Tol) ±50ppm (Stability) 32pF FUND 60Ohm 2-Pin HC-49/USX SMD T/R"                        
X2         25Mhz                  TopLayer    Xtal_314_240X47_SMD            1065.000      670.118       180      "Crystal 25MHz ±30ppm (Tol) ±50ppm (Stability) 20pF 2-Pin HC-49/SDLF SMD T/R"                                 
X1         8MhZ                   TopLayer    XTAL_8MhZ                      1025.000      1891.102      270      "Crystal 8MHz ±30ppm (Tol) ±50ppm (Stability) 32pF FUND 60Ohm 2-Pin HC-49/USX SMD T/R"                        
U12        LP5907MFX-4.5/NOPB     TopLayer    SOT23-5                        3508.852      1019.679      0        "Linear Voltage Regulator IC 1 Output 250mA SOT-23-5"                                                         
U11        LD1117S18TR            TopLayer    SOT-223                        3484.252      1404.480      90       "LDO Voltage Regulators 1.8V 0.8A Positive"                                                                   
U10        LD1117S33CTR           TopLayer    SOT-223                        3484.252      1833.614      90       "Linear Voltage Regulator IC 1 Output 800mA SOT-223"                                                          
U9         STM32F407VGT6          TopLayer    QFN100_19.6_669_58X10_SMD      2283.568      1397.291      315      "ARM® Cortex®-M4 STM32F4 Microcontroller IC 32-Bit 168MHz 1MB (1M x 8) FLASH 100-LQFP (14x14)"                
U8         DRV8701ERGET           TopLayer    ""                             2913.386      2135.827      180      "4.5V to 60V, 2A Step-Down Power Module in QFN Package 43-B3QFN -40 to 105"                                   
U7         IMP34DT05TR            TopLayer    HCLGA-4_53_137_15X37_SMD       2378.740      2939.646      90       "IMP34DT05: 3.6V MEMS Audio Sensor Omnidirectional Digital Microphone - HCLGA-4LD"                            
U6         CS43L22-CNZ            TopLayer    QFN40_19_284_33X9_SMD          1695.000      2535.118      270      "DAC 1-CH Delta-Sigma 24-bit 40-Pin QFN EP T/R"                                                               
U5         ADS122C04IPW           TopLayer    16_TSSOP                       1020.000      2585.118      90       "ADC Quad Delta-Sigma 2ksps 24-bit Serial (I2C) 16-Pin TSSOP Tube"                                            
U4         CH340C                 TopLayer    SOIC-16                        560.984       2540.118      0        "2Mbps Transceiver USB 2.0 SOP-16 USB Converters ROHS"                                                        
U3         DRV8701ERGET           TopLayer    ""                             2539.370      2425.197      0        "4.5V to 60V, 2A Step-Down Power Module in QFN Package 43-B3QFN -40 to 105"                                   
U2         DP83826IRHBR           TopLayer    32-VQFN_(5x5)                  1185.000      930.118       0        "Ethernet PHY 10BASE-Te/00BASE-TX 10/100 Mbps 160mW 1.8V/3.3V 2-Pin VQFN Industrial"                          
U1         STM32F103C8T6          TopLayer    48-LQFP                        680.000       1850.118      180      "ARM Cortex-M3 STM32 F1 Microcontroller 32-Bit 72MHz 64kB FLASH LQFP48 STM32F103C8T6"                         
""         10uF                   BottomLayer Capacitor_1206_SMD             1705.000      2773.386      270      "Multilayer Ceramic Capacitor, 10 uF, 50 V, ï¿½ 10%, X7R, 1206 [3216 Metric]"                                 
SW3        Sw                     TopLayer    SW_Tactile_SMD                 1394.685      200.787       90       "TL3305A Series SPST 12 V 4.5 x 4.5 mm 260 gf Top Actuated SMT Tactile Switch"                                
SW2        Sw                     BottomLayer SW_Tactile_SMD                 715.551       1259.842      90       "TL3305A Series SPST 12 V 4.5 x 4.5 mm 260 gf Top Actuated SMT Tactile Switch"                                
SW1        Sw                     BottomLayer SW_Tactile_SMD                 910.433       2185.039      270      "TL3305A Series SPST 12 V 4.5 x 4.5 mm 260 gf Top Actuated SMT Tactile Switch"                                
R          "51.1 ohm"             BottomLayer Resistor_0603                  1965.000      2685.118      180      "CRCW Series 0603 0.1 W 51.1 Ohm ±1 % ±100 ppm/K SMT Thick Film Chip Resistor"                                
R69        2K                     BottomLayer Resistor_0603                  5150.984      1039.370      180      "Res Thin Film 0603 2K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R"                            
R68        LED_RED                BottomLayer LTST-C171KRKT                  4948.819      1246.063      270      "OPTOELECTRONICS - SMD Chip LED - TopView Single Color Chip LED, Red, 631 at 20mA, 18 to approx. 180 at 20mA" 
R67        1K                     BottomLayer Resistor_0603                  5082.677      1261.220      90       "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R66        2K                     BottomLayer Resistor_0603                  4716.535      1090.551      0        "Res Thin Film 0603 2K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R"                            
R65        1K                     BottomLayer Resistor_0603                  4842.520      1377.953      0        "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R64        2K                     BottomLayer Resistor_0603                  5118.110      425.197       180      "Res Thin Film 0603 2K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R"                            
R63        LED_RED                BottomLayer LTST-C171KRKT                  4929.134      631.890       270      "OPTOELECTRONICS - SMD Chip LED - TopView Single Color Chip LED, Red, 631 at 20mA, 18 to approx. 180 at 20mA" 
R62        1K                     BottomLayer Resistor_0603                  5062.992      639.173       90       "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R61        2K                     BottomLayer Resistor_0603                  4716.535      452.756       0        "Res Thin Film 0603 2K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R"                            
R60        2K                     BottomLayer Resistor_0603                  5145.669      1602.362      180      "Res Thin Film 0603 2K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R"                            
R59        1K                     BottomLayer Resistor_0603                  4753.346      748.032       0        "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R58        LED_RED                BottomLayer LTST-C171KRKT                  4956.693      1812.992      270      "OPTOELECTRONICS - SMD Chip LED - TopView Single Color Chip LED, Red, 631 at 20mA, 18 to approx. 180 at 20mA" 
R57        1K                     BottomLayer Resistor_0603                  5078.740      1814.961      90       "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R56        2K                     BottomLayer Resistor_0603                  4740.157      1641.732      0        "Res Thin Film 0603 2K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R"                            
R55        1K                     BottomLayer Resistor_0603                  4813.583      1929.134      0        "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R54        2K                     BottomLayer Resistor_0603                  5129.921      2165.354      180      "Res Thin Film 0603 2K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R"                            
R53        LED_RED                BottomLayer LTST-C171KRKT                  4933.071      2391.732      270      "OPTOELECTRONICS - SMD Chip LED - TopView Single Color Chip LED, Red, 631 at 20mA, 18 to approx. 180 at 20mA" 
R52        1K                     BottomLayer Resistor_0603                  5062.992      2385.827      90       "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R51        2K                     BottomLayer Resistor_0603                  4703.346      2255.905      0        "Res Thin Film 0603 2K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R"                            
R50        1K                     BottomLayer Resistor_0603                  4801.771      2511.811      0        "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R48        10K                    BottomLayer Resistor_0603                  1476.378      374.016       90       "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R47        100K                   BottomLayer Resistor_0603                  2095.265      1192.137      135      "Res Thick Film 0603 100K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"                                
R46        "50 mOhms"             BottomLayer Resistor_2512                  3343.504      2381.890      180      "Res Current Sense Metal Film 2512 50m Ohm 1% 2W ±100ppm/°C Molded Emboss T/R"                                
R45        10K                    TopLayer    Resistor_0603                  2894.699      2336.038      90       "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R44        10K                    TopLayer    Resistor_0603                  2832.677      2322.834      90       "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R43        10K                    TopLayer    Resistor_0603                  3248.032      2383.268      90       "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R42        10K                    BottomLayer Resistor_0603                  3115.551      2248.032      180      "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R41        10K                    BottomLayer Resistor_0603                  2751.968      2153.543      270      "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R40        10K                    TopLayer    Resistor_0603                  3263.780      2514.370      270      "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R39        10K                    TopLayer    Resistor_0603                  2933.071      2523.622      90       "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R38        10K                    BottomLayer Resistor_0603                  2696.850      2153.543      270      "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R37        33K                    BottomLayer Resistor_0805                  2775.591      2341.535      270      "Res Thick Film 0805 33K Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R"                                           
R36        2K                     BottomLayer Resistor_0603                  2921.260      2220.472      0        "Res Thin Film 0603 2K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R"                            
R35        3.3K                   BottomLayer Resistor_0603                  2962.598      2328.740      90       "Res Thick Film 0603 3.3K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                           
R34        10K                    TopLayer    Resistor_0603                  2384.843      2808.071      180      "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R33        10K                    BottomLayer Resistor_0603                  1870.079      2417.323      0        "SMD Chip Resistor, 10 kOhm, ï¿½ 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                 
R32        "51.1 ohm"             BottomLayer Resistor_0603                  2090.000      2810.118      0        "CRCW Series 0603 0.1 W 51.1 Ohm ±1 % ±100 ppm/K SMT Thick Film Chip Resistor"                                
R31        1K                     BottomLayer Resistor_0603                  1130.000      2800.118      90       "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R30        1K                     BottomLayer Resistor_0603                  881.890       2885.827      90       "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                             
R29        100K                   TopLayer    Resistor_0603                  848.937       2475.118      180      "Res Thick Film 0603 100K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"                                
